college_code,college_name,years,year_count
3647,南昌大学科学技术学院(独立学院),"2021,2022",2
3647,南昌大学科学技术学院,"2024,2026",2
3648,南昌工程学院,"2021,2022,2024",3
3648,江西水利电力大学,2026,1
3649,南昌航空大学,"2021,2022,2024,2026",4
3650,南昌航空大学科技学院(独立学院),"2021,2022",2
3650,南昌航空大学科技学院,"2024,2026",2
3651,南昌理工学院(民办),"2021,2022",2
3651,南昌理工学院,"2024,2026",2
3652,豫章师范学院,"2021,2022,2024,2026",4
3653,萍乡学院,"2021,2022,2024,2026",4
3654,上饶师范学院,"2021,2022,2024,2026",4
3656,新余学院,"2021,2022,2024,2026",4
3657,宜春学院,"2021,2022,2024,2026",4
3659,江西青年职业学院,"2021,2024",2
3660,江西工程学院,"2024,2026",2
3663,江西应用技术职业学院,"2022,2024,2026",3
3666,九江职业大学,"2021,2022,2024",3
3669,江西医学高等专科学校,"2021,2022,2024,2026",4
3679,江西水利职业学院,"2021,2022,2024",3
3681,江西航空职业技术学院(民办),2021,1
3682,赣州师范高等专科学校,"2021,2022,2024",3
3683,宜春幼儿师范高等专科学校,"2021,2022,2024",3
3685,江西师范高等专科学校,"2021,2022,2024,2026",4
3687,萍乡卫生职业学院,"2021,2022,2024,2026",4
3689,江西机电职业技术学院,2026,1
3690,南昌师范学院,"2021,2022,2024,2026",4
3695,景德镇陶瓷职业技术学院,2024,1
3697,抚州幼儿师范高等专科学校,2022,1
3699,江西生物科技职业学院,"2024,2026",2
3701,滨州学院,"2021,2022",2
3701,山东航空学院,"2024,2026",2
3702,滨州医学院,"2021,2022,2024",3
3702,山东医药大学,2026,1
3703,德州学院,"2021,2022,2024,2026",4
3704,东营职业学院,"2021,2022",2
3705,济南大学,"2021,2022,2024,2026",4
3706,烟台科技学院(民办),"2021,2022",2
3706,烟台科技学院,"2024,2026",2
3708,山东职业学院,"2022,2024,2026",3
3709,济宁医学院,"2021,2022,2024,2026",4
3710,聊城大学,"2021,2022,2024,2026",4
3711,临沂大学,"2021,2022,2024,2026",4
3712,鲁东大学,"2021,2022,2024,2026",4
3713,青岛滨海学院(民办),"2021,2022",2
3713,青岛滨海学院,"2024,2026",2
3714,青岛大学,"2021,2022,2024,2026",4
3717,青岛恒星科技学院(民办),"2021,2022",2
3717,青岛恒星科技学院,"2024,2026",2
3718,青岛酒店管理职业技术学院,2024,1
3719,青岛科技大学,"2021,2022,2024,2026",4
3720,青岛理工大学,"2021,2022,2024,2026",4
3721,青岛农业大学,"2021,2022,2024,2026",4
3722,青岛农业大学海都学院(独立学院),"2021,2022",2
3722,青岛农业大学海都学院,"2024,2026",2
3723,青岛求实职业技术学院(民办),"2021,2022",2
3724,青岛职业技术学院,2022,1
3725,曲阜师范大学,"2021,2022,2024,2026",4
3726,齐鲁理工学院(民办),"2021,2022",2
3726,齐鲁理工学院,"2024,2026",2
3727,日照职业技术学院,"2021,2022,2024",3
3727,日照职业技术大学,2026,1
3728,山东财经大学,"2021,2022,2024,2026",4
3729,山东财经大学东方学院(独立学院),"2021,2022",2
3729,山东财经大学东方学院,"2024,2026",2
3731,山东大学(一流大学建设高校),2021,1
3731,山东大学（一流大学建设高校）,2022,1
3731,山东大学,"2024,2026",2
3732,山东大学威海分校(一流大学建设高校),2021,1
3732,山东大学威海分校（一流大学建设高校）,2022,1
3732,山东大学威海分校,"2024,2026",2
3734,山东工商学院,"2021,2022,2024,2026",4
3735,山东工艺美术学院,"2021,2022,2024,2026",4
